,Unnamed: 0,area_fips,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,State Name
0,0,C1018,2006,0.59,0.0,0.0,1,0,0,Texas
1,1,C1042,2001,0.0,0.0,0.0,0,0,0,Ohio
2,2,C1042,2002,0.0,0.0,0.0,0,0,0,Ohio
3,3,C1042,2003,0.0,0.0,0.0,0,0,0,Ohio
4,4,C1042,2004,0.9,0.0,0.0,6,0,0,Ohio
5,5,C1042,2005,1.0,0.0,0.0,7,0,0,Ohio
6,6,C1042,2006,1.15,0.0,0.0,9,0,0,Ohio
7,7,C1050,2001,0.0,0.0,0.0,0,0,0,Georgia
8,8,C1050,2002,0.0,0.0,0.0,0,0,0,Georgia
9,9,C1050,2003,0.0,0.0,0.0,0,0,0,Georgia
10,10,C1050,2004,0.73,0.0,0.0,1,0,0,Georgia
11,11,C1050,2005,0.7,0.0,0.0,1,0,0,Georgia
12,12,C1050,2006,0.62,0.0,0.0,1,0,0,Georgia
13,13,C1058,2001,0.0,0.0,0.0,0,0,0,New York
14,14,C1058,2002,0.0,0.0,0.0,0,0,0,New York
15,15,C1058,2003,0.88,0.82,0.76,7,80,4951771,New York
16,16,C1058,2004,1.01,0.0,0.0,8,0,0,New York
17,17,C1058,2005,1.07,0.76,0.66,9,77,4801913,New York
18,18,C1058,2006,0.84,0.39,0.29,8,43,2376613,New York
19,19,C1074,2001,0.0,0.0,0.0,0,0,0,New Mexico
20,20,C1074,2002,0.0,0.0,0.0,0,0,0,New Mexico
21,21,C1074,2003,0.0,0.0,0.0,0,0,0,New Mexico
22,22,C1074,2004,0.56,0.0,0.0,4,0,0,New Mexico
23,23,C1074,2005,0.27,0.0,0.0,2,0,0,New Mexico
24,24,C1074,2006,0.35,0.0,0.0,3,0,0,New Mexico
25,25,C1078,2001,0.0,0.0,0.0,0,0,0,Louisiana
26,26,C1078,2002,0.0,0.0,0.0,0,0,0,Louisiana
27,27,C1078,2003,0.0,0.0,0.0,0,0,0,Louisiana
