,area_fips,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name
0,C1018,2001,0.0,0.0,0.0,0,0,0,Texas
1,C1018,2002,0.0,0.0,0.0,0,0,0,Texas
2,C1018,2003,0.0,0.0,0.0,0,0,0,Texas
3,C1018,2004,1.7,0.0,0.0,3,0,0,Texas
4,C1018,2005,1.68,0.0,0.0,3,0,0,Texas
5,C1018,2006,1.61,0.0,0.0,3,0,0,Texas
6,C1018,2007,0.85,0.0,0.0,4,0,0,Texas
7,C1018,2008,0.79,0.0,0.0,4,0,0,Texas
8,C1018,2009,0.55,0.0,0.0,3,0,0,Texas
9,C1018,2010,0.51,0.0,0.0,3,0,0,Texas
10,C1018,2011,0.63,0.0,0.0,4,0,0,Texas
11,C1018,2012,0.58,0.0,0.0,4,0,0,Texas
12,C1018,2013,0.66,0.0,0.0,5,0,0,Texas
13,C1018,2014,0.97,0.24,0.14,8,25,17045,Texas
14,C1018,2015,0.9,0.0,0.0,8,0,0,Texas
15,C1018,2016,0.86,0.0,0.0,8,0,0,Texas
16,C1018,2017,0.61,0.0,0.0,6,0,0,Texas
17,C1018,2018,0.57,0.0,0.0,6,0,0,Texas
18,C1038,2011,0.18,0.0,0.0,1,0,0,Puerto Rico
19,C1038,2012,0.17,0.0,0.0,1,0,0,Puerto Rico
20,C1038,2014,0.14,0.0,0.0,1,0,0,Puerto Rico
21,C1038,2015,0.13,0.0,0.0,1,0,0,Puerto Rico
22,C1042,2001,0.0,0.0,0.0,0,0,0,Ohio
23,C1042,2002,0.63,0.2,0.59,5,23,19563,Ohio
24,C1042,2003,0.37,0.18,0.55,3,21,18608,Ohio
25,C1042,2004,0.25,0.0,0.0,2,0,0,Ohio
26,C1042,2005,0.24,0.0,0.0,2,0,0,Ohio
27,C1042,2006,0.35,0.17,1.01,3,21,39816,Ohio
28,C1042,2007,0.57,0.0,0.0,12,0,0,Ohio
29,C1042,2008,0.64,0.0,0.0,15,0,0,Ohio
30,C1042,2009,0.53,0.14,0.68,13,44,53395,Ohio
31,C1042,2010,0.43,0.12,0.49,11,41,42720,Ohio
32,C1042,2011,0.47,0.1,0.5,13,38,48529,Ohio
33,C1042,2012,0.67,0.18,0.55,20,72,57490,Ohio
34,C1042,2013,0.81,0.25,0.39,26,110,56379,Ohio
35,C1042,2014,0.73,0.3,0.45,25,150,62503,Ohio
36,C1042,2015,0.84,0.49,0.48,31,274,69651,Ohio
37,C1042,2016,0.86,0.75,0.48,33,445,73104,Ohio
38,C1042,2017,0.81,0.96,0.51,33,610,84904,Ohio
39,C1042,2018,0.76,1.25,0.47,33,850,83073,Ohio
40,C1050,2001,0.0,0.0,0.0,0,0,0,Georgia
41,C1050,2002,0.0,0.0,0.0,0,0,0,Georgia
42,C1050,2003,0.0,0.0,0.0,0,0,0,Georgia
43,C1050,2004,1.2,0.0,0.0,2,0,0,Georgia
44,C1050,2005,0.6,0.0,0.0,1,0,0,Georgia
45,C1050,2006,0.57,0.0,0.0,1,0,0,Georgia
46,C1050,2007,0.46,0.0,0.0,2,0,0,Georgia
47,C1050,2008,0.61,0.32,0.47,3,20,31104,Georgia
48,C1050,2009,0.57,0.42,0.44,3,26,29911,Georgia
49,C1050,2010,0.54,0.38,0.41,3,25,30751,Georgia
50,C1050,2011,0.51,0.34,0.34,3,24,28261,Georgia
51,C1050,2012,0.47,0.0,0.0,3,0,0,Georgia
52,C1050,2013,0.44,0.0,0.0,3,0,0,Georgia
53,C1050,2014,0.55,0.4,0.31,4,37,36127,Georgia
54,C1050,2015,0.39,0.0,0.0,3,0,0,Georgia
55,C1050,2016,0.37,0.0,0.0,3,0,0,Georgia
56,C1050,2017,0.26,0.0,0.0,2,0,0,Georgia
57,C1050,2018,0.25,0.0,0.0,2,0,0,Georgia
58,C1054,2013,0.36,0.0,0.0,2,0,0,Oregon
59,C1054,2014,0.32,0.0,0.0,2,0,0,Oregon
60,C1054,2015,0.29,0.0,0.0,2,0,0,Oregon
61,C1054,2016,0.27,0.0,0.0,2,0,0,Oregon
62,C1054,2017,0.38,0.0,0.0,3,0,0,Oregon
63,C1054,2018,0.34,0.0,0.0,3,0,0,Oregon
